fomc_id,date,sentence,sentence_length,growth_sentiment,employment_sentiment,inflation_sentiment,prediction_finbert,sentiment_score_finbert,sentiment_vader_logit,sentiment_vader_logit_score,sentiment_vader_compound,sentiment_vader_compound_score,growth_sentiment_gpt4,employment_sentiment_gpt4,inflation_sentiment_gpt4,id,stance_label,stance_label_name
11901.0,2015-04-08,"Imports rose in December, with an increased volume of petroleum imports, but declined in January, driven by lower prices and volumes for petroleum.",23,neutral,neutral,neutral,negative,-0.94,neutral,0.5128971385098865,positive,0.0516,neutral,neutral,positive,0,2,neutral
11902.0,2015-04-08,"Commercial and industrial loans on banks' books continued to expand strongly, reportedly in part to fund increased merger and acquisition activity.",21,positive,neutral,neutral,positive,0.9351,positive,0.6661448670999395,positive,0.6908,positive,neutral,neutral,1,1,hawkish
11903.0,2015-05-20,"Measures of residential mortgage lending conditions were generally little changed over the intermeeting period, and lending volumes remained light.",19,neutral,neutral,neutral,negative,-0.441,neutral,0.5,neutral,0.0,neutral,neutral,neutral,2,0,dovish
11904.0,2015-07-08,Most participants judged that the conditions for policy firming had not yet been achieved; a number of them cautioned against a premature decision.,23,neutral,neutral,neutral,negative,-0.455,neutral,0.5192904202999741,positive,0.0772,neutral,neutral,neutral,3,0,dovish
11905.0,2015-08-19,Many members thought that labor market underutilization would be largely eliminated in the near term if economic activity evolved as they expected.,22,positive,positive,neutral,neutral,-0.048,neutral,0.5,neutral,0.0,neutral,neutral,neutral,4,1,hawkish
11906.0,2015-10-08,"Available indicators of drilling activity, such as counts of rigs in operation, suggested spending would decline less rapidly in the third quarter.",22,negative,neutral,neutral,negative,-0.936,neutral,0.4680436192023592,negative,-0.128,neutral,neutral,positive,5,2,neutral
11907.0,2015-10-08,"On net, the level of GDP was anticipated to rise above its potential next year, and that gap was projected to widen gradually over the medium term.",27,positive,neutral,neutral,positive,0.9274,neutral,0.5,neutral,0.0,positive,neutral,neutral,6,1,hawkish
11908.0,2016-02-17,"Consistent with the downside risk to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as skewed to the upside.",25,negative,negative,neutral,negative,-0.883,negative,0.3052332371262195,negative,-0.8225,neutral,neutral,positive,7,0,dovish
11910.0,2016-05-18,"Manufacturing output decreased, partly reflecting the effects on export demand of earlier appreciation of the foreign exchange value of the dollar.",21,negative,neutral,neutral,negative,-0.955,positive,0.654052365591518,positive,0.6369,negative,neutral,neutral,8,0,dovish
11911.0,2016-05-18,Information on extraction and drilling activity for crude oil and natural gas in early April was consistent with further declines in mining output.,23,negative,neutral,neutral,negative,-0.964,negative,0.4265356063867507,negative,-0.296,negative,neutral,neutral,9,0,dovish
11912.0,2016-05-18,Credit conditions in municipal bond markets continued to be stable even as the situation facing Puerto Rico and its creditors deteriorated further.,22,neutral,neutral,neutral,positive,0.9187,positive,0.63920147454366,positive,0.5719,neutral,neutral,neutral,10,2,neutral
11914.0,2016-07-06,"The employment report for May showed considerably weaker growth in payrolls than had been expected, and gains in previous months were revised down.",23,neutral,negative,neutral,negative,-0.965,positive,0.6163537111865438,positive,0.4741,negative,neutral,neutral,11,0,dovish
11915.0,2016-07-06,Almost all participants judged that the surprisingly weak May employment report increased their uncertainty about the outlook for the labor market.,21,neutral,negative,neutral,negative,-0.922,negative,0.449596780064486,negative,-0.2023,neutral,neutral,positive,12,0,dovish
11916.0,2016-08-17,"Equity price indexes increased, on net, despite an initial sharp decline following the Brexit vote, and corporate bond spreads declined on balance.",22,positive,neutral,neutral,positive,0.6686,positive,0.5788855158293956,positive,0.3182,positive,neutral,neutral,13,2,neutral
11917.0,2016-08-17,Participants discussed the implications of recent economic and financial developments for the economic outlook and the risks attending the outlook.,20,neutral,neutral,neutral,neutral,0.0258,negative,0.4321216689988913,negative,-0.2732,neutral,neutral,positive,14,2,neutral
11918.0,2016-10-12,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,21,neutral,neutral,neutral,neutral,0.0114,positive,0.6169683256234894,positive,0.4767,neutral,neutral,positive,15,2,neutral
11919.0,2016-10-12,"Although payrolls for state and local governments expanded in July and August, nominal construction spending by these governments declined in July.",21,negative,positive,neutral,negative,-0.89,positive,0.5788855158293956,positive,0.3182,neutral,neutral,neutral,16,0,dovish
11920.0,2016-11-23,Yield spreads for securities backed by credit card and auto loans over Treasury securities of comparable maturities were little changed on balance.,22,neutral,neutral,neutral,neutral,-0.216,positive,0.6904021378903575,positive,0.802,neutral,neutral,neutral,17,2,neutral
11921.0,2016-11-23,"Participants noted that economic growth in many foreign economies remained subdued, and that inflation rates abroad generally were still quite low.",21,negative,neutral,positive,negative,-0.837,neutral,0.5319563807976407,positive,0.128,negative,neutral,neutral,18,2,neutral
11923.0,2017-08-16,Reports from District contacts on both manufacturing and services were also generally consistent with moderate growth in economic activity overall.,20,positive,neutral,neutral,positive,0.8942,positive,0.594307167585335,positive,0.3818,positive,neutral,neutral,19,2,neutral
11924.0,2017-11-22,Credit bureau data on loan originations and credit limits suggested that this tightening was most pronounced in the subprime segment of the market.,23,negative,neutral,neutral,negative,-0.67,positive,0.654052365591518,positive,0.6369,negative,neutral,neutral,20,1,hawkish
11925.0,2017-11-22,"Although the hurricanes depressed payroll employment in September, the unemployment rate, which was less affected by the storms, declined further.",20,neutral,positive,neutral,negative,-0.914,negative,0.3146863905848918,negative,-0.7783,neutral,neutral,positive,21,0,dovish
11927.0,2018-02-21,Incoming data suggested that economic activity abroad continued to expand at a solid pace and that this expansion was broad based across countries.,23,positive,neutral,neutral,positive,0.9288,positive,0.6083543386109735,positive,0.4404,positive,neutral,neutral,22,2,neutral
11928.0,2018-04-11,Recent data suggest that growth rates of household spending and business fixed investment have moderated from their strong fourth-quarter readings.,20,positive,neutral,neutral,negative,-0.22,positive,0.6703127684073539,positive,0.7096,neutral,neutral,positive,23,0,dovish
11929.0,2018-05-23,"In addition, a few observed that the neutral level of the federal funds rate might currently be lower than their estimates of its longer-run level.",25,neutral,neutral,neutral,negative,-0.922,negative,0.4321216689988913,negative,-0.2732,neutral,neutral,positive,24,1,hawkish
11930.0,2018-11-29,"Household spending had continued to grow strongly, while growth of business fixed investment had moderated from its rapid pace earlier in the year.",23,positive,neutral,neutral,positive,0.7015,positive,0.63920147454366,positive,0.5719,positive,neutral,neutral,25,2,neutral
11931.0,2018-11-29,"Some contacts indicated that while input costs were higher, it appeared that the pass-through of these higher costs to consumer prices was limited.",23,neutral,neutral,neutral,positive,0.1466,negative,0.4436652116904393,negative,-0.2263,neutral,neutral,positive,26,0,dovish
