sentence,id,llm_label,llm_label_name
A couple of participants remarked that the very low levels of inventories would likely be a factor supporting increases in production as demand continued to recover.,0,1,hawkish
"A few members expressed interest in using language specifying a period of time during which the federal funds rate was expected to remain exceptionally low, rather than a calendar date, arguing that such language might be better to indicate a constant stance of monetary policy over time.",1,0,dovish
A few observed that the combination of recent labor market improvements and continued softness in inflation had led them to lower their estimates of the longer-run normal rate of unemployment.,2,0,dovish
A few participants commented that both survey- and market-based measures of short-term inflation expectations were at historically high levels.,3,1,hawkish
"A few participants expressed less confidence in this outlook for inflation and commented that inflation had averaged less than 2 percent over the past several years even as resource utilization had increased, or pointed to downward pressures from global or technology-related factors that could continue to suppress inflation.",4,0,dovish
"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.",5,0,dovish
"A number of global factors were seen as contributing to downward pressure on term premiums, including central bank asset purchase programs and the strong worldwide demand for safe assets.",6,2,neutral
"Against this background, the members agreed on the need to continue to monitor the economy with care for signs either of a potential upturn in inflation or greater softness in the expansion than they were currently forecasting and to be prepared to respond promptly in either direction.",7,2,neutral
"Also, the recent evidence could be interpreted as indicating that the surprisingly sharp decline in measured inflation in 2003 exaggerated the drop in the underlying rate of inflation.",8,1,hawkish
"Although readings on core inflation had improved modestly since the spring, nearly all participants viewed core inflation as uncomfortably high and stressed the importance of further moderation.",9,1,hawkish
"Although real growth was likely to be moderate in coming quarters, in his view it was unlikely to be slow enough to bring core inflation down.",10,1,hawkish
"Although some of the recent data on economic activity had been better than anticipated, most participants saw the incoming information as broadly in line with their earlier projections for moderate growth; accordingly, their views on the economic outlook had not changed appreciably.",11,2,neutral
"Although the initial offerings of these securities were well received, investor demand at the most recent sales was not as strong, a development consistent with the declines in the prices of non-agency residential mortgage-backed securities over the intermeeting period.",12,2,neutral
"Although the near-term economic outlook is weak, the Committee anticipates that policy actions to stabilize financial markets and institutions, together with fiscal and monetary stimulus, will contribute to a gradual resumption of sustainable economic growth.",13,0,dovish
"Although the pace of job losses was moderating, the unusually large fraction of those who were working part time for economic reasons and the unusually low level of the average workweek pointed to only a gradual decline in the unemployment rate as the economic recovery proceeded.",14,0,dovish
An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,15,0,dovish
Any such rise in inflation expectations and associated upward pressure on inflation itself would likely prove costly to reverse.,16,1,hawkish
"As a result, most market interest rates rose somewhat in the period after the November 16 meeting.",17,2,neutral
"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",18,2,neutral
"At the same time, business firms generally were not raising their prices sufficiently to compensate for faster increases in their labor costs, to the extent that the latter were occurring, evidently because of the persistence of intense competition in most markets.",19,0,dovish
"At the same time, however, the staff increased the growth rate forecast for 2006 to reflect the boost to economic activity from the rebuilding effort.",20,1,hawkish
"Available information suggested that economic activity in the major foreign industrial countries continued to advance, but at an uneven pace; in Germany, activity rebounded from the contraction in the first quarter, while in Japan a considerable slowing of growth had occurred in the second quarter after very rapid expansion in the first quarter.",21,2,neutral
"Broad U. S. stock price indexes declined, on net, over the intermeeting period, apparently in response to the downbeat economic data.",22,0,dovish
"Broad equity price indexes were higher over the intermeeting period, amid heightened volatility.",23,1,hawkish
Committee Policy Action Committee members saw the information received over the intermeeting period as suggesting that economic activity was expanding at a moderate pace.,24,2,neutral
"Committee Policy Action In their discussion of monetary policy for the period ahead, Committee members agreed that the stance of monetary policy should not be changed at this meeting.",25,2,neutral
Committee Policy Action Members viewed the information on U. S. economic activity received over the intermeeting period as suggesting that the economy had been expanding moderately and generally agreed that the economic outlook was broadly similar to that at the time of their March meeting.,26,2,neutral
"Construction employment posted another large increase, probably owing in part to hurricane-related activity.",27,1,hawkish
"Consumer price inflation remained subdued in November, with both the overall index and the index excluding food and energy items rising at the same relatively low rates as in October.",28,0,dovish
"Consumer prices jumped in October, as hurricane damage contributed to higher prices for food and energy.",29,1,hawkish
"Consumer sentiment was at or close to historically high levels according to recent surveys, evidently reflecting the strong uptrend in employment and income and to some extent the very large cumulative increase in stock market wealth over the course of recent years.",30,1,hawkish
"Core inflation was then expected to edge down in 2009 as the impetus from prior increases in the prices of imports, energy, and other commodities abated and the margin of slack in resource use widened.",31,0,dovish
"Depository institutions continued to bid aggressively for 28-day funds at the Term Auction Facility (TAF) during the intermeeting period, and demand for funds was strong at both of the 84-day TAF auctions.",32,2,neutral
"Despite a recent uptick in consumer prices, year-over-year consumer inflation remained at a very low level.",33,0,dovish
Domestic respondents to the April SLOOS generally reported tightening their lending standards and experiencing weaker loan demand across all major CRE loan categories during the first quarter.,34,0,dovish
"Economic data releases were mixed, on balance, over the intermeeting period, but market participants were especially attentive to incoming information on the labor market--most notably, the private payroll figures in the employment report for May, which were considerably weaker than investors expected.",35,0,dovish
"Energy prices were moderating noticeably in response to lower worldwide demand, and core price inflation remained subdued.",36,0,dovish
Expansion of these two monetary aggregates was supported by further rapid expansion in the demand for currency and stronger inflows to retail money market funds at a time of weakness in U. S. bond and equity markets.,37,2,neutral
"Financial factors also seemed likely on balance to accommodate continuing growth in consumer spending, in particular the marked increases that had occurred in the value of stock holdings and a still-ample availability of credit to most households.",38,0,dovish
"Financing conditions in capital markets remained broadly accommodative, supported by low interest rates and high equity valuations.",39,0,dovish
"Fiscal policy was expected to be somewhat less expansionary next year, though still an important contributor to economic growth.",40,2,neutral
"For a variety of reasons, oil prices already had risen appreciably since the start of the year.",41,1,hawkish
"For now, the Committee should remain particularly vigilant to incoming information bearing on the outlook for inflation.",42,2,neutral
Foreign economic growth declined in the second quarter.,43,2,neutral
"Geopolitical uncertainties, notably those relating to developments in Iraq, frequently were cited by business contacts as a major reason for caution, but other factors inhibiting capital expenditures evidently included excess capacity and limited prospects for profits because of increased energy, insurance, pension, and other costs and a concomitant inability to raise selling prices.",44,0,dovish
"Holiday shopping reportedly was relatively solid, and, reflecting the improvement in the housing market, demand for home furnishings and construction materials was up.",45,1,hawkish
"Household spending was projected to grow at a fairly solid rate, supported by higher employment and somewhat lower energy prices but damped somewhat by lessened stimulus from gains in wealth and the need for households to rebuild savings.",46,2,neutral
"However, a few other participants pointed to the record of inflation consistently running below the Committee's 2 percent objective over recent years and expressed the concern that longer-run inflation expectations may have slipped below levels consistent with that objective.",47,0,dovish
"However, economic activity continued to be depressed in areas affected by the downturn in the energy sector and falling agricultural commodity prices, al­though several participants noted that the recent firming in crude oil prices had led to a modest increase in drilling activity.",48,0,dovish
"However, it was noted that the Committee had in place tools that would enable it to remove policy accommodation quickly if necessary to avoid an undesirable increase in inflation.",49,1,hawkish
"However, most participants judged that inflation would stabilize around the Committee's 2 percent objective over the medium term.",50,0,dovish
"However, other measures of labor utilization--including the labor force participation rate and the numbers of discouraged workers and those working part time for economic reasons--suggested more modest improvement, and other indicators of labor demand, such as rates of hiring and quits, remained low.",51,0,dovish
"However, reports from business contacts in several Districts indicated that employers in labor markets in which demand was high or in which workers in some occupations were in short supply were raising wages noticeably to compete for workers and limit turnover.",52,1,hawkish
"However, this shortfall partly reflected the earlier declines in energy prices and decreasing prices of non-energy imports, and some participants pointed out that, by some measures, the most recent monthly inflation readings had firmed a bit.",53,1,hawkish
